tournament,year,predicted_champion,actual_champion,predicted_finalist_1,predicted_finalist_2,match_accuracy,log_loss,brier_score,champion_hit,matches
FIFA World Cup,1930,Argentina,Uruguay,Argentina,Uruguay,0.7777777777777778,0.6528440654733786,0.34507782131451403,False,18
FIFA World Cup,1934,Italy,Italy,Italy,Czechoslovakia,0.7058823529411765,0.8257822956847357,0.4748350626947694,True,17
FIFA World Cup,1938,Italy,Brazil,Italy,Hungary,0.5555555555555556,0.8785670885619612,0.5124797008743476,False,18
FIFA World Cup,1950,Brazil,Sweden,Brazil,Spain,0.6363636363636364,0.9413867868927587,0.5544010575131663,False,22
FIFA World Cup,1954,Germany,Germany,Germany,Austria,0.6153846153846154,0.8780706385994581,0.5195759581181512,True,26
FIFA World Cup,1958,Brazil,Brazil,Brazil,France,0.42857142857142855,1.1487223391080479,0.6947952428538169,True,35
FIFA World Cup,1962,Brazil,Brazil,Brazil,Czechoslovakia,0.53125,0.9363974159406498,0.5457358090728479,True,32
FIFA World Cup,1966,England,England,England,Germany,0.5,1.11443975361764,0.6620986957368566,True,32
FIFA World Cup,1970,Brazil,Brazil,Brazil,Italy,0.65625,0.9000502200415187,0.5233555608583318,True,32
FIFA World Cup,1974,Brazil,Germany,Brazil,Germany,0.5263157894736842,1.0126015160683846,0.6038670927438993,False,38
FIFA World Cup,1978,Brazil,Argentina,Brazil,Netherlands,0.5263157894736842,0.9257546405992547,0.5540652921512664,False,38
FIFA World Cup,1982,Poland,Italy,Poland,Italy,0.4807692307692308,0.9819990258646154,0.5952238826529718,False,52
FIFA World Cup,1986,Argentina,Argentina,Argentina,France,0.5769230769230769,0.975950275941471,0.5797630228299403,True,52
FIFA World Cup,1990,Italy,Germany,Italy,Germany,0.5576923076923077,0.9735730571542114,0.5742486750361853,False,52
FIFA World Cup,1994,Italy,Sweden,Italy,Brazil,0.5576923076923077,0.9573357509315703,0.5626449046359464,False,52
FIFA World Cup,1998,France,France,France,Netherlands,0.53125,0.955835514402884,0.5708197293401551,True,64
FIFA World Cup,2002,Brazil,Brazil,Brazil,Germany,0.453125,1.027170932939488,0.6152774776875272,True,64
FIFA World Cup,2006,Germany,Germany,Germany,Italy,0.625,0.8296875535584635,0.4842298045916314,True,64
FIFA World Cup,2010,Netherlands,Spain,Netherlands,Spain,0.5625,0.9940036281603819,0.590699842108094,False,64
FIFA World Cup,2014,Brazil,Germany,Brazil,Germany,0.578125,0.9549927390761642,0.5627150554457301,False,64
FIFA World Cup,2018,France,France,France,England,0.515625,1.026532472200336,0.613156300375314,True,64
FIFA World Cup,2022,Argentina,Croatia,Argentina,France,0.46875,1.071034426314713,0.6350934337146572,False,64
